,ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max
13,XTZ-USD,DOT-USD,0.9261208198379666,0.5023498814084862,0.33815806469182674,0.0004974786117898954,0.00011961193860615675,0.00030854527519802606,0.00011961193860615675,0.0004974786117898954
14,NEO-USD,VET-USD,0.9247508753733453,0.06934641433337502,0.043741794496021606,,,,,
15,FET-USD,RENDER-USD,0.9232732657882468,0.14898186677588432,0.3523441951497079,0.009086285313976351,0.01955632936339787,0.014321307338687111,0.009086285313976351,0.01955632936339787
16,BTT-USD,CAKE-USD,0.9231611545588527,0.1720615160038702,0.24406290499693856,3.8070310587194888e-06,3.349571162662409e-06,3.5783011106909486e-06,3.349571162662409e-06,3.8070310587194888e-06
17,XTZ-USD,ALGO-USD,0.92309676280654,0.31849921913613366,0.5047636489909278,0.17214473641492128,0.23590287718038383,0.20402380679765256,0.17214473641492128,0.23590287718038383
18,JASMY-USD,HYPE-USD,0.9205546663370571,0.018410500623182897,0.000846941376855113,,,,,
19,GALA-USD,CRO-USD,0.9198642590435138,0.07837732770924742,0.1603080385991485,9.154705935401581e-05,0.0006876721504843077,0.00038960960491916176,9.154705935401581e-05,0.0006876721504843077
20,AAVE-USD,XLM-USD,0.9189285278150447,0.20165320520486646,0.3154550988931208,0.00039176745007508425,0.0005907052215699811,0.0004912363358225327,0.00039176745007508425,0.0005907052215699811
21,FORM-USD,FIL-USD,0.9176780969959076,0.020504263514043896,0.26111016137699805,,,,,
22,BNB-USD,ETH-USD,0.9167862071226408,0.6265869384620631,0.2945516390598798,0.27831672831881316,0.20736781723759334,0.24284227277820325,0.20736781723759334,0.27831672831881316
23,FLOW-USD,FIL-USD,0.9157069314172037,0.27525229090413883,0.22013077778770995,0.00017689489118294098,0.00010989148614386336,0.00014339318866340216,0.00010989148614386336,0.00017689489118294098
24,TRUMP-USD,APT-USD,0.9134603023498041,0.05160991669720485,1.8665378638223977e-05,,,,,
