Date,RSI,MACD,MACD_Signal,MACD_Hist,ATR,TEMA,EMA4_Crossover_up,EMA4_Crossover_down,SKDJ_K,SKDJ_D,relative_strength_EMA_4_9,predicted,actual
2024-07-19,57.06415070448402,6.852566643588403,7.892573288916981,-1.0400066453285772,5.214240855812139,216.63324660952856,False,False,48.95294322314396,56.49588237664796,1.000772036229836,0.005248634950307491,False
2024-07-22,56.55351726829695,6.16608923117542,7.547276477368669,-1.3811872461932495,5.17567310540238,217.05754091534024,False,False,40.03614987687201,46.84336851255733,0.9978052707519902,0.004975672711372888,False
2024-07-23,57.774308126582945,5.6414617276520005,7.166113527425336,-1.524651799773335,5.1092493238830246,217.52197612216304,False,False,32.857090620421395,40.6153945734791,0.9977917765613962,0.004949587442575942,False
2024-07-24,48.694643443101874,4.651741627634607,6.66323914746719,-2.0114975198325835,5.305274309664358,217.54042623562734,False,False,7.014867265299428,26.63603592086425,0.9968134598531415,0.004692073813882778,False
2024-07-25,47.392946670320825,3.739830065324668,6.078557331038686,-2.3387272657140183,5.36983633208075,217.49017227643617,False,False,12.693542897081155,17.521833594267296,0.9966634881011385,0.00467006260008671,False
2024-07-26,48.06221916821645,3.020116676975391,5.466869200226028,-2.4467525232506366,5.2340161628691435,217.47338078600833,False,False,14.772218487183792,11.493542883188098,0.995090124033507,0.004897017154695768,False
2024-07-29,48.48272924892212,2.444083216304847,4.862312003441792,-2.418228787136945,5.112880129197498,217.47567700419935,False,True,16.01063460117777,14.492131995147545,0.9948138905467839,0.005290307837901384,False
2024-07-30,49.365688651145675,2.0094446004116264,4.291738522835759,-2.2822939224241328,5.04738187250198,217.51383286815476,False,True,18.487399115451804,16.423417401271095,0.9965996888015677,0.0058268678573197745,False
2024-07-31,54.30564946328012,1.906792038760699,3.8147492260207474,-1.9079571872600485,5.044225273488239,217.76043109257574,False,True,32.99424975954618,22.497427825391892,0.9975708395356385,0.0066525782182192605,False
2024-08-01,48.5235625148381,1.5088786577631481,3.353575112369228,-1.8446964546060798,5.2149951166949196,217.75192396122512,False,True,16.541374690930343,22.674341188642746,0.9976107715854424,0.0071256918706883105,False
