ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max,regress1on2,coint_factor
BSX,AVGO,0.972909514573225,0.9990349086910276,0.9945118085486405,6.023923443661244e-06,2.0475692009575015e-06,4.035746322309373e-06,2.0475692009575015e-06,6.023923443661244e-06,False,0.5721452942193004
AVGO,APO,0.96920409384966,0.9945118085486405,0.9977323267076658,4.621491961636996e-06,7.565022269313015e-06,6.093257115475006e-06,4.621491961636996e-06,7.565022269313015e-06,True,0.8729421384067519
HWM,AVGO,0.9674754705683924,1.0,0.9945118085486405,1.1159839081155163e-05,9.634495452489536e-07,6.061644313202059e-06,9.634495452489536e-07,1.1159839081155163e-05,False,0.5739958565828936
WAB,AVGO,0.9697498139460881,0.9979578878276792,0.9945118085486405,1.602617534402044e-05,1.0636582203764909e-05,1.3331378773892674e-05,1.0636582203764909e-05,1.602617534402044e-05,False,1.195107471508753
WAB,ANET,0.9795213023661292,0.9979578878276792,1.0,3.724856078112239e-05,2.8774752597069286e-05,3.301165668909584e-05,2.8774752597069286e-05,3.724856078112239e-05,False,2.1973960340275194
NSC,ABT,0.8901792287620304,0.21758853816867213,0.1368150233283243,2.5855856244069834e-05,4.379119130642831e-05,3.482352377524907e-05,2.5855856244069834e-05,4.379119130642831e-05,True,0.46672999007103255
PH,MA,0.9723874783081914,0.9942183010255309,0.9498916541391847,4.8094383937147805e-05,2.8732757783079987e-05,3.84135708601139e-05,2.8732757783079987e-05,4.8094383937147805e-05,False,0.9497423609181072
PH,AVGO,0.9610761969146449,0.9942183010255309,0.9945118085486405,5.8020954625261276e-05,5.695403529713708e-05,5.748749496119918e-05,5.695403529713708e-05,5.8020954625261276e-05,False,4.044626747428622
WMT,RCL,0.9111835339875194,0.999051384033109,0.9970203128100353,3.533222109035088e-05,8.88439608518288e-05,6.208809097108984e-05,3.533222109035088e-05,8.88439608518288e-05,True,1.9341968171696506
IBM,AVGO,0.9565331023580589,0.9968200550817228,0.9945118085486405,0.00010661024826061432,4.261882666855109e-05,7.46145374645827e-05,4.261882666855109e-05,0.00010661024826061432,False,1.4483586018599421
PEP,ON,0.9269855820166008,0.3617821944583394,0.41458199809083324,0.00015181095484472298,0.0001685211537157326,0.00016016605428022777,0.00015181095484472298,0.0001685211537157326,True,0.3894513092289854
COST,BRO,0.9837738016128382,0.9885456356366489,0.9523131927350252,0.0001735770500241097,0.0001482679405688766,0.00016092249529649314,0.0001482679405688766,0.0001735770500241097,False,8.223385977183504
PANW,MAR,0.9595857985600524,0.933454405085402,0.9595500054945364,8.661681509479019e-05,0.0001741623894075598,0.000130389602251175,8.661681509479019e-05,0.0001741623894075598,True,1.6259292038371629
CTAS,AVGO,0.9555994492004178,0.9764986939121704,0.9945118085486405,0.0001442559200264915,0.00019198609704053696,0.00016812100853351423,0.0001442559200264915,0.00019198609704053696,True,0.7152034661399265
MA,CAT,0.9570985894311358,0.9498916541391847,0.9172089590140249,0.00021022676746400892,0.0001837714824698616,0.00019699912496693524,0.0001837714824698616,0.00021022676746400892,False,1.5641291553872367
NXPI,AMAT,0.9734699832894389,0.531047255318567,0.593099785993164,0.00011512810048342778,0.000240183191156078,0.00017765564581975288,0.00011512810048342778,0.000240183191156078,True,0.7143752524983986
NXPI,AOS,0.9507636445197001,0.531047255318567,0.3512921335513465,0.0002541170577716801,0.0002444489681036099,0.000249283012937645,0.0002444489681036099,0.0002541170577716801,False,2.862932322404444
APO,ANET,0.9749803657293206,0.9977323267076658,1.0,0.0002588167181503228,0.00017814627022553556,0.00021848149418792916,0.00017814627022553556,0.0002588167181503228,False,1.6045967958864673
V,RL,0.9375461440142673,0.9743534584890765,0.9969734009337212,0.00020798492966340277,0.0002772316073848112,0.00024260826852410698,0.00020798492966340277,0.0002772316073848112,True,0.536029154765108
TDY,LH,0.8664779452408402,0.17793492360294766,0.3130811096882642,0.00021489494992132937,0.0003008035648924534,0.00025784925740689137,0.00021489494992132937,0.0003008035648924534,True,0.4993995349992025
RSG,PANW,0.9706969016635427,0.9861712010303126,0.933454405085402,0.0003126714197230938,0.0001951542994976613,0.0002539128596103775,0.0001951542994976613,0.0003126714197230938,False,1.2755303577650492
SLB,ON,0.9039119255321301,0.6321156549576071,0.41458199809083324,0.00033398052967976413,0.00023431965684957102,0.0002841500932646676,0.00023431965684957102,0.00033398052967976413,False,0.6226036997428307
MOH,HST,0.8014511180257169,0.22065726220074727,0.1752407044130928,0.00032502043027020453,0.00037826037933474396,0.00035164040480247427,0.00032502043027020453,0.00037826037933474396,True,0.052201092817100885
MO,HPE,0.9172605427791378,0.8004453287831448,0.7200216108201726,0.00037975540967184355,0.00027143586417287426,0.0003255956369223589,0.00027143586417287426,0.00037975540967184355,False,2.583118254770852
RL,JPM,0.9714336642423441,0.9969734009337212,0.9969101806206496,0.000169127117629549,0.0003801294996868324,0.00027462830865819065,0.000169127117629549,0.0003801294996868324,True,1.1745579925160163
HST,CSX,0.8524338460454456,0.1752407044130928,0.17550656853355873,0.00039277931094241873,0.000311180396393019,0.00035197985366771886,0.000311180396393019,0.00039277931094241873,False,0.4958620340636693
PPL,PEG,0.8804957312546288,0.2401574154513922,0.8947062630223581,1.71897290597163e-05,0.0003938637362513824,0.00020552673265554933,1.71897290597163e-05,0.0003938637362513824,True,2.2875947371742336
IR,CMG,0.9653788554141765,0.9034446307667187,0.7986857961560706,0.0004087517743480233,0.00032078610407160473,0.000364768939209814,0.00032078610407160473,0.0004087517743480233,False,1.6074243810991105
BKNG,AVGO,0.9572440894997312,0.9740117614011313,0.9945118085486405,0.00027359465126618095,0.00044317169096419267,0.0003583831711151868,0.00027359465126618095,0.00044317169096419267,True,0.03080434701558129
MS,DGX,0.8920481862163934,0.9438600023104446,0.17239501877021257,0.0004632954073157007,1.7686462322554975e-05,0.00024049093481912784,1.7686462322554975e-05,0.0004632954073157007,False,0.6159509792214852
TSCO,JNPR,0.9433237932910713,0.7040997104272901,0.5731593725778997,0.0004715647049178515,0.0003912317383456984,0.00043139822163177494,0.0003912317383456984,0.0004715647049178515,False,1.3040794683098582
PEG,MO,0.9377244870252218,0.8947062630223581,0.8004453287831448,0.0004933468242239434,0.0004916267012311908,0.0004924867627275672,0.0004916267012311908,0.0004933468242239434,False,1.5695720115234884
SLB,FIS,0.8748069020969618,0.6321156549576071,0.5317743998674863,0.0005024505446318782,0.0004578741614923313,0.00048016235306210474,0.0004578741614923313,0.0005024505446318782,False,0.32227289632545475
FANG,ABBV,0.9473292858666866,0.8515719570129371,0.777156539692942,0.0005042932917535611,0.00036697837491093775,0.0004356358333322494,0.00036697837491093775,0.0005042932917535611,False,0.9145500703988452
FICO,ERIE,0.9329166161819445,0.9905159840053755,0.7673261584893754,0.0005279068830701754,0.0001630450020996515,0.0003454759425849135,0.0001630450020996515,0.0005279068830701754,False,3.3355524895404525
PARA,LUV,0.841233686606401,0.08590548297613015,0.17660898358151256,0.00016190918113138063,0.0005324845992590929,0.0003471968901952368,0.00016190918113138063,0.0005324845992590929,True,1.3971364318152688
L,HPE,0.9461115043856574,0.9554700772218238,0.7200216108201726,0.000556285686776167,0.0003046774670020623,0.00043048157688911463,0.0003046774670020623,0.000556285686776167,False,4.070504113934046
PM,HPE,0.9135944969788581,0.9705884827527841,0.7200216108201726,0.000622991269636429,0.0002112188178411638,0.0004171050437387964,0.0002112188178411638,0.000622991269636429,False,5.841761710792758
ITW,AME,0.9763090222946283,0.5039377544908841,0.7833811010719509,0.00027095873944497,0.0006297992025886667,0.00045037897101681836,0.00027095873944497,0.0006297992025886667,True,0.6441493909870438
HCA,ADI,0.95282115077047,0.7664409816826632,0.7158231080770079,0.0006353901614188863,0.0003722611885508306,0.0005038256749848584,0.0003722611885508306,0.0006353901614188863,False,1.4520219464980118
DECK,AVGO,0.9722745888080997,0.9986332322033437,0.9945118085486405,0.0006354640955084499,0.0005243689026750774,0.0005799164990917636,0.0005243689026750774,0.0006354640955084499,False,1.0407648751442664
VMC,IR,0.9752321398674758,0.8494256562987306,0.9034446307667187,0.0006082932119528457,0.0006766274491198344,0.00064246033053634,0.0006082932119528457,0.0006766274491198344,True,0.32281816992383916
MSFT,MLM,0.9637439379159011,0.734939851356673,0.8189420656143155,0.0004710364307368561,0.0006939768343497805,0.0005825066325433183,0.0004710364307368561,0.0006939768343497805,True,1.3048156560776412
PCG,BAX,0.8567284551428375,0.5145494804204558,0.8240817407381636,0.00019514864283804633,0.0007005147035911345,0.0004478316732145904,0.00019514864283804633,0.0007005147035911345,True,3.6303206529942407
MS,DFS,0.9665510399434482,0.9438600023104446,0.9793647821002078,0.00034252265727335965,0.0007593287974369228,0.0005509257273551412,0.00034252265727335965,0.0007593287974369228,True,1.2904018986185468
CDNS,BLDR,0.9589789973574232,0.7311826313598466,0.8924355767852846,0.0005415028495723162,0.000783922305331118,0.0006627125774517171,0.0005415028495723162,0.000783922305331118,True,0.5075568237384381
GE,DECK,0.9601279752263728,0.997612586985578,0.9986332322033437,0.0007926753020732803,0.0005682564817430361,0.0006804658919081582,0.0005682564817430361,0.0007926753020732803,False,0.9797144262358031
SHW,CRWD,0.8465736227815122,0.6989721270286531,0.7312436714562447,0.0005955104652120061,0.0008055231740045294,0.0007005168196082677,0.0005955104652120061,0.0008055231740045294,True,0.7800154313503924
CZR,ALGN,0.9251292239782016,0.5652145202953421,0.6145241976077223,0.0005900694806540764,0.0008110924785439624,0.0007005809795990194,0.0005900694806540764,0.0008110924785439624,True,6.242461581401836
PG,AAPL,0.9370971521851814,0.5786657573323422,0.7309531157493652,0.00047359807527509447,0.0008183174137401354,0.0006459577445076149,0.00047359807527509447,0.0008183174137401354,True,1.1381050769121484
FANG,AZO,0.961403076609672,0.8515719570129371,0.9204901377655754,0.0006758820593008152,0.000833360345285381,0.0007546212022930981,0.0006758820593008152,0.000833360345285381,True,17.952892675816237
