ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max,regress1on2,coint_factor
EOS-USD,TON-USD,0.877213097380567,0.5670953245951217,0.20338224358772516,8.848490730894084e-05,5.847986393312139e-06,4.716644685112649e-05,5.847986393312139e-06,8.848490730894084e-05,False,1.6314782527742735
GALA-USD,NEAR-USD,0.7011887177344126,0.07837732770924742,0.06143069669502614,0.00010663602638493733,3.6529509334749855e-05,7.158276785984359e-05,3.6529509334749855e-05,0.00010663602638493733,False,
FLOW-USD,FIL-USD,0.9157069314172037,0.27525229090413883,0.22013077778770995,0.00017689489118294098,0.00010989148614386336,0.00014339318866340216,0.00010989148614386336,0.00017689489118294098,False,3.720833695846839
NEO-USD,FLOW-USD,0.88463174355493,0.10864205152036766,0.27525229090413883,0.0002403269541024732,0.00017029656670770432,0.00020531176040508876,0.00017029656670770432,0.0002403269541024732,False,0.3369881467278193
FLOW-USD,BSV-USD,0.9014666288330426,0.27525229090413883,0.1513382578288806,0.00024076092345418128,4.664622990429866e-05,0.00014370357667923997,4.664622990429866e-05,0.00024076092345418128,False,9.253955837523623
FLOW-USD,TON-USD,0.9042024719149119,0.27525229090413883,0.377210345684798,0.0002443192690161409,0.00016655044411197157,0.00020543485656405623,0.00016655044411197157,0.0002443192690161409,False,0.42056334464881123
PAXG-USD,XAUt-USD,0.9980482891844813,0.9767533471736958,0.9727005236422187,0.0003427575548619273,0.00038042935797552243,0.00036159345641872487,0.0003427575548619273,0.00038042935797552243,True,0.9998484146205869
LTC-USD,TON-USD,0.8231439517935321,0.21857664836207125,0.20338224358772516,0.0003779666981858986,0.0004047700460467674,0.000391368372116333,0.0003779666981858986,0.0004047700460467674,True,23.082729653389606
THETA-USD,AAVE-USD,0.8256121338666811,0.1707940512640846,0.20165320520486646,0.00042177910601658885,0.00047762003682348463,0.00044969957142003674,0.00042177910601658885,0.00047762003682348463,True,0.017485680925951777
XTZ-USD,DOT-USD,0.9261208198379666,0.5023498814084862,0.33815806469182674,0.0004974786117898954,0.00011961193860615675,0.00030854527519802606,0.00011961193860615675,0.0004974786117898954,False,5.916105187868864
AAVE-USD,XLM-USD,0.9189285278150447,0.20165320520486646,0.3154550988931208,0.00039176745007508425,0.0005907052215699811,0.0004912363358225327,0.00039176745007508425,0.0005907052215699811,True,825.6416570431214
THETA-USD,XMR-USD,0.8355426336476478,0.1492778838825759,0.09629483712039766,0.0006042567175169719,0.0002600938463813171,0.0004321752819491445,0.0002600938463813171,0.0006042567175169719,False,42.627539255178085
FLOW-USD,BTT-USD,0.8678734636107949,0.27525229090413883,0.2105312140610956,0.0006046851948266897,0.00036732727186893104,0.00048600623334781035,0.00036732727186893104,0.0006046851948266897,False,0.0001850916100287003
DOT-USD,TON-USD,0.8621179163831857,0.32858787421782076,0.20338224358772516,0.0006136371461205983,0.00022952247569937991,0.00042157981090998906,0.00022952247569937991,0.0006136371461205983,False,0.25931919380663027
ALGO-USD,DOT-USD,0.9459230166071196,0.5909708660828789,0.33815806469182674,0.0006342511939944446,0.0001875694198603285,0.00041091030692738656,0.0001875694198603285,0.0006342511939944446,False,22.449335185457045
THETA-USD,BCH-USD,0.7906926886944696,0.1492778838825759,0.11326969973687262,0.0006462813584355401,0.0006230959543772377,0.0006346886564063889,0.0006230959543772377,0.0006462813584355401,False,96.57256670814796
GALA-USD,CRO-USD,0.9198642590435138,0.07837732770924742,0.1603080385991485,9.154705935401581e-05,0.0006876721504843077,0.00038960960491916176,9.154705935401581e-05,0.0006876721504843077,True,
CAKE-USD,FIL-USD,0.8796526788224928,0.24406290499693856,0.1940911956674592,0.0007038306703102465,0.0005560852947947832,0.0006299579825525148,0.0005560852947947832,0.0007038306703102465,False,3.9235927954157543
THETA-USD,ETC-USD,0.7035851632186078,0.1492778838825759,0.058213974803486876,0.000918386639850225,0.0003811785012888647,0.0006497825705695449,0.0003811785012888647,0.000918386639850225,False,7.088358324199515
HBAR-USD,ADA-USD,0.8983955646416728,0.3947652426586486,0.24845350157836088,0.0009231376278497229,0.000883176620603759,0.000903157124226741,0.000883176620603759,0.0009231376278497229,False,5.170334059573888
FLOW-USD,THETA-USD,0.8958230238063513,0.27525229090413883,0.22338239489657585,0.0009998658470936697,0.0006460379972404623,0.000822951922167066,0.0006460379972404623,0.0009998658470936697,False,0.3454659374062185
FLOW-USD,EOS-USD,0.8888725324046777,0.27525229090413883,0.45197664592487236,0.0008847759991698915,0.0011451151299729301,0.0010149455645714108,0.0008847759991698915,0.0011451151299729301,True,3.535348954682161
EOS-USD,FIL-USD,0.8339574691562467,0.41686967021358007,0.12961118856112314,0.0011831539994931178,6.574270691768648e-05,0.0006244483532054021,6.574270691768648e-05,0.0011831539994931178,False,11.865633878802333
BTT-USD,THETA-USD,0.9096519234399418,0.17488704924471832,0.1492778838825759,0.0006353642756937024,0.001271793607879277,0.0009535789417864898,0.0006353642756937024,0.001271793607879277,True,0.0005005106604796175
NEO-USD,DOT-USD,0.8320408472974532,0.10853230124962787,0.33815806469182674,0.00029067003339677404,0.0013861373847675327,0.0008384037090821534,0.00029067003339677404,0.0013861373847675327,True,1.499836536231316
BTT-USD,ALGO-USD,0.8336019401820315,0.17488704924471832,0.5047636489909278,0.0001608702690310547,0.0016579686835512752,0.0009094194762911649,0.0001608702690310547,0.0016579686835512752,True,0.0023845990583355728
GALA-USD,KCS-USD,0.7575851305387159,0.07837732770924742,0.11732084747509042,0.0020084638639823785,0.0021342804280244515,0.0020713721460034152,0.0020084638639823785,0.0021342804280244515,True,
FIL-USD,LTC-USD,0.8317934373127243,0.12961118856112314,0.2103245670274247,0.0029108792221659526,0.0007738478029574961,0.0018423635125617245,0.0007738478029574961,0.0029108792221659526,False,2.4587679790098393
BTT-USD,ADA-USD,0.7724011046754705,0.17488704924471832,0.24845350157836088,0.0013091384301823748,0.003171505480598105,0.00224032195539024,0.0013091384301823748,0.003171505480598105,True,0.0018147632655153537
BTT-USD,ETC-USD,0.6500253282196692,0.17488704924471832,0.058213974803486876,0.0033171762182772706,0.0010003446775390934,0.002158760447908182,0.0010003446775390934,0.0033171762182772706,False,11445.787703370466
THETA-USD,ADA-USD,0.8306171298940777,0.1492778838825759,0.24845350157836088,0.002041171767742511,0.0037993199362875213,0.002920245852015016,0.002041171767742511,0.0037993199362875213,True,3.688586181041189
DEXE-USD,DOGE-USD,0.5785254299714672,0.18532151361651944,0.056126396358054775,0.004152934688438516,0.0007227172987576776,0.002437825993598097,0.0007227172987576776,0.004152934688438516,False,0.015796440473213758
THETA-USD,LINK-USD,0.8436318592811282,0.1492778838825759,0.18695943356765016,0.003956349040718677,0.004305637289548,0.004130993165133339,0.003956349040718677,0.004305637289548,True,0.19052611773733077
FIL-USD,AAVE-USD,0.751749987358328,0.19346125519970497,0.20165320520486646,0.004764617053245486,0.004128380452323898,0.004446498752784692,0.004128380452323898,0.004764617053245486,False,4.059628527473055
ATOM-USD,CRO-USD,0.7221445735420847,0.19112106943699508,0.10245733889243858,0.004261129250319921,0.005133040944353814,0.004697085097336868,0.004261129250319921,0.005133040944353814,True,69.94514375303262
BGB-USD,OM-USD,0.8598029793529848,0.9959896223745187,1.0,5.5006252276247366e-05,0.005278828733904018,0.0026669174930901325,5.5006252276247366e-05,0.005278828733904018,True,1.1651533895787811
NEXO-USD,THETA-USD,0.8589854327020973,0.13705301752434623,0.1492778838825759,0.0055017546898099255,0.005520179865823,0.005510967277816463,0.0055017546898099255,0.005520179865823,True,0.3602896750582801
BTT-USD,TON-USD,0.9390065175261704,0.22181559523856026,0.20338224358772516,0.006218072239386567,0.005906253703869486,0.006062162971628027,0.005906253703869486,0.006218072239386567,False,2130.610902839086
XMR-USD,HBAR-USD,0.7638026296045967,0.09629483712039766,0.3947652426586486,0.006253602282794911,0.0029818201687505917,0.004617711225772751,0.0029818201687505917,0.006253602282794911,False,0.0007935268309964184
BTT-USD,XTZ-USD,0.8317918536650022,0.17488704924471832,0.31849921913613366,0.0023326812442385067,0.006261250854322768,0.004296966049280638,0.0023326812442385067,0.006261250854322768,True,0.0005788594621053485
FLOW-USD,VET-USD,0.8119703380314433,0.27525229090413883,0.08483235123379052,0.006573998491515232,0.001260407442837067,0.00391720296717615,0.001260407442837067,0.006573998491515232,False,0.0053340428548496925
FIL-USD,DOT-USD,0.8048649896226868,0.18163286675522533,0.33815806469182674,0.002701675264565291,0.006605441765661676,0.0046535585151134835,0.002701675264565291,0.006605441765661676,True,2.0651594228396775
THETA-USD,MKR-USD,0.76938795621608,0.1492778838825759,0.1582630399334884,0.006306617977300514,0.007551839249565492,0.006929228613433003,0.006306617977300514,0.007551839249565492,True,0.0016465600380274107
FIL-USD,BCH-USD,0.741977828327466,0.12961118856112314,0.11326969973687262,0.007667801164230329,0.005335726220111766,0.006501763692171048,0.005335726220111766,0.007667801164230329,False,8.238284608308701
FLOW-USD,XMR-USD,0.8073805424452082,0.27525229090413883,0.07574878520805309,0.00775839957306934,0.0003977440964580113,0.004078071834763676,0.0003977440964580113,0.00775839957306934,False,13.34109527904912
KCS-USD,AVAX-USD,0.8715914933686286,0.13796989642345814,0.13933565730774095,0.008104806010822415,0.007315719789541319,0.007710262900181867,0.007315719789541319,0.008104806010822415,False,
HBAR-USD,XLM-USD,0.8290743337751026,0.3947652426586486,0.3203877542421859,0.007803840734119453,0.008326812780331035,0.008065326757225244,0.007803840734119453,0.008326812780331035,True,0.6796108051170503
FLOW-USD,LTC-USD,0.8660078337591811,0.27525229090413883,0.2484036675918186,0.00835816603632566,0.0030677751490863314,0.005712970592705996,0.0030677751490863314,0.00835816603632566,False,9.502236298356038
BTT-USD,LTC-USD,0.8229478631130397,0.17488704924471832,0.2103245670274247,0.004062005496410399,0.00839592056520094,0.006228963030805669,0.004062005496410399,0.00839592056520094,True,1.3372995717116684e-05
FIL-USD,TON-USD,0.9410822218922317,0.18386078825837576,0.20338224358772516,0.008652422324916477,0.007374468679230284,0.00801344550207338,0.007374468679230284,0.008652422324916477,False,0.10982684086082456
CAKE-USD,ADA-USD,0.8599391042250419,0.24406290499693856,0.22547548292907893,0.00886114922258834,0.004279718001952766,0.006570433612270553,0.004279718001952766,0.00886114922258834,False,0.09079677710253645
HNT-USD,ATOM-USD,0.8278625007433182,0.36903393366611026,0.16664510023941997,0.008908663802184259,0.002590069230759263,0.005749366516471761,0.002590069230759263,0.008908663802184259,False,1.1015626419097537
DEXE-USD,BCH-USD,0.7583061844598985,0.18532151361651944,0.21662122671395811,0.00152520673918343,0.008910546848668797,0.005217876793926114,0.00152520673918343,0.008910546848668797,True,0.02032008988598319
GALA-USD,AVAX-USD,0.834927625019402,0.07837732770924742,0.13437609922487415,0.003221666888515678,0.009152429527859416,0.006187048208187547,0.003221666888515678,0.009152429527859416,True,
SAND-USD,NEAR-USD,0.7423401142246283,0.17400553227694088,0.06029034976459499,0.009951720112590372,0.0016698912133797682,0.00581080566298507,0.0016698912133797682,0.009951720112590372,False,3.2220479680772893
